 z [km]      O3 [ppmv]     p [hPa]          z_p [km]
------------------------------------------------------------
  0.02       0.0163083     995.291           0.0330410
  0.08       0.0163083     988.640           0.0799747
  0.18       0.0164025     977.630           0.158368
  0.32       0.0166060     962.363           0.268545
  0.5        0.0168675     942.988           0.410912
  0.72       0.0171872     919.708           0.585893
  0.98       0.0175650     892.783           0.793882
  1.28       0.0180009     862.526           1.03523
  1.62       0.0187228     829.277           1.31041
  2          0.0201301     793.403           1.61997
  2.42       0.0216856     755.269           1.96477
  2.88       0.0233892     715.258           2.34578
  3.38       0.0254032     673.763           2.76414
  3.92       0.0277855     631.181           3.22114
  4.5        0.0301555     587.915           3.71821
  5.12       0.0316000     544.439           4.25600
  5.78       0.0331376     501.165           4.83574
  6.48       0.0333875     458.419           5.45980
  7.22       0.0334635     416.507           6.13096
  8          0.0328560     375.697           6.85281
  8.82       0.0316182     336.231           7.62970
  9.68       0.0303281     298.331           8.46686
 10.58       0.0296872     262.212           9.37021
 11.52       0.0297041     228.084          10.3463
 12.5        0.0303880     196.162          11.4017
 13.52       0.0334605     166.663          12.5425
 14.58       0.0495977     139.804          13.7726
 15.68       0.0905998     115.818          15.0901
 16.82       0.163117       95.0034         16.4769
 18          0.353887       77.5195         17.9006
 19.18       0.690313       63.5202         19.2948
 20.3601     1.21832        52.2569         20.6611
 21.5406     2.11083        43.1419         22.0028
 22.7221     3.11863        35.7266         23.3230
 23.9057     4.16618        29.6562         24.6266
 25.0933     5.55942        24.6623         25.9174
 26.2872     6.96020        20.5366         27.1988
 27.4911     7.68759        17.1065         28.4781
 28.7093     8.35488        14.2379         29.7629
 29.9476     9.02707        11.8312         31.0591
 31.2129     9.55567         9.80800        32.3719
 32.5138     9.44676         8.10368        33.7081
 33.8602     9.18971         6.66632        35.0748
 35.2641     8.63530         5.45450        36.4792
 36.7391     7.89581         4.43332        37.9302
 38.3009     7.03284         3.57344        39.4396
 39.9676     6.11765         2.85078        41.0211
 41.7593     5.16498         2.24585        42.6907
 43.6987     4.32284         1.74286        44.4656
 45.8111     3.54261         1.32869        46.3649
 48.1244     2.72546         0.990873       48.4185
 50.6694     2.08606         0.718601       50.6674
 53.4801     1.40846         0.501625       53.1836
 56.5934     0.950656        0.332068       56.0712
 60.0496     0.591795        0.204695       59.4579
 63.8925     0.353543        0.115549       63.4607
 68.1693     0.183395        0.0583213      68.2468
 72.9310     0.0826479       0.0263049      73.8203
 78.2324     0.0321436       0.00997860     80.6055
 84.1324     0.0299901       0.00310354     88.7808
------------------------------------------------------------
# Here, z_p = (7 km)*exp(1000/p), where p is the tropical mean pressure value [hPa] at the model level z

